open,close,high,low,value,quantity,end
253.37,252.28,253.4,252.0,1031275184.3,4086370,2020-01-21 10:59:59
252.25,252.09,252.25,251.44,1000351514.8000002,3972710,2020-01-21 11:59:59
252.09,251.24,252.48,251.19,999101661.0000001,3968250,2020-01-21 12:59:59
251.24,251.25,251.72,251.01,556985263.5,2216810,2020-01-21 13:59:59
251.22,251.21,251.54,250.94,473275143.4999999,1884240,2020-01-21 14:59:59
251.21,251.63,251.77,251.15,592993623.1,2357020,2020-01-21 15:59:59
251.61,251.37,251.9,250.88,548201272.6000001,2180690,2020-01-21 16:59:59
251.34,252.8,252.83,251.34,896114459.9000002,3554770,2020-01-21 17:59:59
252.75,252.99,252.99,252.16,674958555.1999995,2670430,2020-01-21 18:50:11
252.81,252.81,252.81,252.81,15107925.6,59760,2020-01-22 09:59:59
252.81,251.63,253.39,251.53,873513465.0,3456780,2020-01-22 10:59:59
251.7,251.44,252.29,251.25,654091490.5999999,2599230,2020-01-22 11:59:59
251.37,250.49,251.84,250.38,1191996370.8,4747770,2020-01-22 12:59:59
250.49,250.58,251.1,250.06,606163646.8000001,2420640,2020-01-22 13:59:59
250.58,250.34,250.66,250.03,846795987.3000002,3383570,2020-01-22 14:59:59
250.32,250.23,250.6,250.08,784644037.7000002,3135170,2020-01-22 15:59:59
250.2,249.6,250.41,249.4,1049828636.3999997,4200640,2020-01-22 16:59:59
249.62,249.36,250.34,249.25,1399421218.9000003,5605160,2020-01-22 17:59:59
249.4,248.1,249.41,248.1,2307385935.299999,9276300,2020-01-22 18:59:59
246.71,246.71,246.71,246.71,54606791.40000003,221340,2020-01-23 09:59:59
246.9,246.84,247.66,245.0,1989568331.5,8073310,2020-01-23 10:59:59
246.82,245.84,247.23,245.1,2519543210.200001,10251470,2020-01-23 11:59:59
245.83,245.06,246.03,245.0,2053302441.8,8373050,2020-01-23 12:59:59
245.07,244.15,245.35,243.57,2329628181.3999996,9519670,2020-01-23 13:59:59
244.15,244.37,245.15,243.62,1295604661.7,5299620,2020-01-23 14:59:59
244.33,244.06,244.89,243.85,720714120.1000001,2949880,2020-01-23 15:59:59
244.06,242.62,244.34,242.52,1333454355.6000001,5478200,2020-01-23 16:59:59
242.61,240.43,242.65,240.16,2559871295.4,10615710,2020-01-23 17:59:59
240.52,239.3,240.56,239.01,3138261791.9999995,13096750,2020-01-23 18:59:59
240.12,240.12,240.12,240.12,14092642.800000006,58690,2020-01-24 09:59:59
240.12,241.06,243.25,240.12,2525062040.2999997,10443300,2020-01-24 10:59:59
241.11,241.12,241.93,240.51,1421916827.2000003,5897120,2020-01-24 11:59:59
