open,close,high,low,value,quantity,end
61.4,60.4,61.78,60.2,220500197.20000005,3606010,2022-02-10 16:59:59
60.38,60.7,60.92,59.8,189601193.6,3145000,2022-02-10 17:59:59
60.7,61.02,61.08,60.66,47614968.400000006,781700,2022-02-10 18:59:59
61.02,60.54,61.24,60.54,44177731.79999999,726390,2022-02-10 19:59:59
60.6,59.98,60.7,59.92,57951877.0,961830,2022-02-10 20:59:59
59.98,60.32,60.42,59.94,37368565.20000001,621070,2022-02-10 21:59:59
60.34,59.94,60.4,59.9,15608373.599999996,259900,2022-02-10 22:59:59
59.94,59.76,60.0,59.44,36809730.599999994,616700,2022-02-10 23:59:49
59.98,59.98,59.98,59.98,2999.0,50,2022-02-11 06:59:59
60.0,59.58,60.76,59.46,77356935.80000001,1287150,2022-02-11 07:59:59
59.52,59.4,59.6,59.34,28850338.799999997,485440,2022-02-11 08:59:59
59.4,58.94,59.46,58.86,47436847.6,802940,2022-02-11 09:59:59
58.94,58.9,59.56,58.8,94874362.6,1606290,2022-02-11 10:59:59
58.88,58.48,59.02,58.28,96821572.00000001,1652110,2022-02-11 11:59:59
58.48,57.84,58.52,57.62,174565179.40000007,3010560,2022-02-11 12:59:59
57.84,58.2,58.4,57.78,79227334.40000002,1363450,2022-02-11 13:59:59
58.22,57.92,58.3,57.86,52669284.4,907690,2022-02-11 14:59:59
57.9,57.86,58.26,57.6,105340156.00000003,1816930,2022-02-11 15:59:59
57.86,58.48,58.76,57.8,83312987.39999993,1425420,2022-02-11 16:59:59
58.48,58.4,58.66,58.3,35272622.0,602840,2022-02-11 17:59:59
58.36,58.34,58.64,58.3,58704006.6,1004690,2022-02-11 18:59:59
58.54,58.0,58.54,57.88,27870477.400000002,479650,2022-02-11 19:59:59
57.98,58.02,58.18,57.92,11726867.200000003,202060,2022-02-11 20:59:59
58.04,58.3,59.24,57.7,388860585.59999985,6658150,2022-02-11 21:59:59
58.3,58.18,58.82,58.02,129545567.59999998,2218550,2022-02-11 22:59:59
58.12,58.3,58.6,58.06,31120759.600000024,532970,2022-02-11 23:59:49
57.52,57.52,57.52,57.52,1223450.3999999997,21270,2022-02-14 06:59:59
57.96,56.94,57.96,56.14,158217348.0,2780950,2022-02-14 07:59:59
56.94,56.88,57.0,56.52,90138760.0,1587080,2022-02-14 08:59:59
56.9,56.98,57.48,56.84,95207840.19999999,1664670,2022-02-14 09:59:59
56.94,57.78,58.2,56.86,135669945.2,2348420,2022-02-14 10:59:59
57.76,56.82,57.9,56.74,69797810.20000002,1219090,2022-02-14 11:59:59
56.76,56.84,57.22,56.6,102787856.2,1807760,2022-02-14 12:59:59
56.8,56.9,57.24,56.64,57466649.19999998,1008030,2022-02-14 13:59:59
56.88,56.88,57.06,56.64,68037687.4,1198030,2022-02-14 14:59:59
56.9,57.72,57.94,56.7,99785541.99999999,1736310,2022-02-14 15:59:59
57.76,57.42,58.26,57.2,148029983.4,2562260,2022-02-14 16:59:59
57.42,57.4,57.48,57.0,46115713.2,804910,2022-02-14 17:59:59
57.4,57.48,57.48,57.26,24353413.000000007,423990,2022-02-14 18:59:59
57.48,57.52,57.64,57.3,26207832.80000001,455610,2022-02-14 19:59:59
57.52,57.48,57.56,57.46,7809961.799999995,135760,2022-02-14 20:59:59
57.48,57.06,57.52,56.66,27980920.199999996,489850,2022-02-14 21:59:59
56.98,57.46,57.46,56.66,28968617.6,507680,2022-02-14 22:59:59
57.46,57.3,57.48,57.2,13805378.199999996,240740,2022-02-14 23:59:59
57.2,57.2,57.2,57.2,101244.0,1770,2022-02-15 06:59:59
57.44,58.04,58.16,57.2,68305893.40000002,1183850,2022-02-15 07:59:59
58.04,57.86,58.04,57.58,31843996.400000002,550780,2022-02-15 08:59:59
57.84,58.14,58.2,57.74,18697500.800000004,322650,2022-02-15 09:59:59
58.14,57.66,58.14,57.4,59988568.999999985,1039480,2022-02-15 10:59:59
57.7,59.1,59.12,57.52,162948993.4,2793230,2022-02-15 11:59:59
59.1,58.64,59.42,58.46,105745063.59999995,1793510,2022-02-15 12:59:59
